,PCN,ISSUED,LOCATION,CONTRAVENTION,FINE,Last Pay Date,Total Paid,Balance,Unnamed: 8
7961,LS22600557,04/03/2020,CHARLES STREET CP - FARSLEY                                 ,86 BEYOND THE BAY MARKINGS                        ,50,09/03/2020,25.0,0.0,
7962,LS22600568,04/03/2020,CHARLES STREET CP - FARSLEY                                 ,86 BEYOND THE BAY MARKINGS                        ,50,06/03/2020,25.0,0.0,
7963,LS22600579,04/03/2020,CHARLES STREET CP - FARSLEY                                 ,86 BEYOND THE BAY MARKINGS                        ,50,04/03/2020,25.0,0.0,
7964,LS22600579,04/03/2020,CHARLES STREET CP - FARSLEY                                 ,86 BEYOND THE BAY MARKINGS                        ,50,06/03/2020,25.0,0.0,
7965,LS22700631,04/03/2020,HUNSLET LANE CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,18/03/2020,25.0,0.0,
7966,LS22700642,04/03/2020,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,04/03/2020,25.0,0.0,
7967,LS24902411,04/03/2020,KIRKSTALL RD CP - CITY,73 PARKED WITHOUT PAYMENT,50,04/03/2020,25.0,50.0,
7968,LS25600032,04/03/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,04/03/2020,0.0,0.0,
7969,LS25600054,04/03/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,50.0,0.0,
7970,LS06566560,05/03/2020,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,05/03/2020,0.0,0.0,
7971,LS06566560,05/03/2020,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,31/03/2020,0.0,0.0,
7972,LS17302822,05/03/2020,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,05/03/2020,50.0,0.0,
7973,LS17302844,05/03/2020,COURTHOUSE STREET CP - OTLEY,83 WITHOUT DISPLAYING A VALID TICKET,50,05/03/2020,25.0,0.0,
7974,LS18305178,05/03/2020,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,05/03/2020,25.0,0.0,
7975,LS18305178,05/03/2020,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/03/2020,25.0,0.0,
7976,LS18305189,05/03/2020,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,24/03/2020,0.0,0.0,
7977,LS18305203,05/03/2020,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,05/03/2020,25.0,0.0,
7978,LS18305214,05/03/2020,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,05/03/2020,35.0,0.0,
7979,LS18401003,05/03/2020,MAIN STREET CP - GARFORTH                                   ,81 IN A RESTRICTED AREA IN A CAR PARK             ,70,13/03/2020,35.0,0.0,
7980,LS18603074,05/03/2020,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,06/03/2020,0.0,0.0,
7981,LS18603074,05/03/2020,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,09/03/2020,0.0,0.0,
7982,LS18603074,05/03/2020,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,11/03/2020,0.0,0.0,
