PCN,ISSUED,LOCATION,CONTRAVENTION,FINE,Last Pay Date,Total Paid,Balance,
LS07509427,27/02/2017,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,27/06/2019,83,0,
LS0710854A,29/04/2017,HUNSLET LANE CP - CITY,81 IN A RESTRICTED AREA IN A CAR PARK             ,70,14/06/2019,113,0,
LS07617033,06/06/2017,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,24/05/2019,83,0,
LS07515044,26/06/2017,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,24/05/2019,83,0,
LS05615092,13/09/2017,BECKETT ST UPPER CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,29/04/2019,83,0,
LS05023366,09/11/2017,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/04/2019,83,0,
LS05126347,18/11/2017,CROSSLEY STREET CP - WETHERBY                               ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,10/05/2019,83,0,
LS08426507,05/01/2018,WOODHOUSE LN CP - THE BRIDGE - CITY,85 PARKED IN A PERMIT BAY WITHOUT PERMIT,70,25/06/2019,0,0,
LS12127758,15/01/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/04/2019,83,0,
LS07531878,30/03/2018,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,01/04/2019,25,0,
LS06351473,01/05/2018,BECKETT ST UPPER CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,08/05/2019,83,0,
LS12438703,16/05/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/04/2019,83,0,
LS11747338,17/05/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/04/2019,83,0,
LS08520163,18/05/2018,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,11/04/2019,83,0,
LS15302242,19/05/2018,MEADOW LANE CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,02/04/2019,83,0,
LS05745961,31/05/2018,BECKETT ST LOWER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,05/04/2019,0,0,
LS08521359,31/05/2018,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,24/05/2019,83,0,
LS12138663,11/06/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/04/2019,83,0,
LS09923314,13/06/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/04/2019,83,0,
LS09826602,14/06/2018,WOODHOUSE LANE  CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,10/04/2019,83,0,
LS06636484,19/06/2018,QUARRY HILL E CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/04/2019,83,0,
LS05028654,22/06/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,18/04/2019,83,0,
LS05028654,22/06/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,29/05/2019,83,0,
LS11628292,26/06/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,12/04/2019,83,0,
LS06357323,04/07/2018,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/06/2019,0,0,
LS01744537,11/07/2018,LEISURE CENTRE CP - PUDSEY                                  ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,08/05/2019,83,0,
LS03542409,12/07/2018,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/06/2019,83,0,
LS14925410,24/07/2018,BECKETT ST LOWER CP - CITY,73 PARKED WITHOUT PAYMENT,50,02/04/2019,83,0,
LS06358858,25/07/2018,BURLEY ROAD CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,08/05/2019,83,0,
LS01149919,30/07/2018,WOODHOUSE LANE  CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,13/05/2019,83,0,
LS08639621,30/07/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/04/2019,83,0,
LS09828415,31/07/2018,CASTLE ST CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,13/05/2019,83,0,
LS03543605,01/08/2018,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,25/04/2019,0,83,
LS05926773,01/08/2018,NORTH PARADE CP - OTLEY,83 WITHOUT DISPLAYING A VALID TICKET,50,14/06/2019,83,0,
LS08312155,06/08/2018,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,14/06/2019,83,0,
LS07540948,09/08/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/04/2019,83,0,
LS05749361,19/08/2018,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,14/06/2019,83,0,
LS08438379,21/08/2018,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,08/05/2019,83,0,
LS06838718,21/08/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/06/2019,83,0,
LS14343732,21/08/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,25/04/2019,83,0,
LS03836556,24/08/2018,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/06/2019,83,0,
LS07630450,24/08/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,02/04/2019,83,0,
LS06920455,25/08/2018,MEADOW LANE CP - CITY,87 IN DISABLED BAY WITHOUT BADGE,70,25/06/2019,0,0,
LS06361976,28/08/2018,BECKETT ST UPPER CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,10/06/2019,83,0,
LS0794438A,30/08/2018,MEADOW LANE CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,10/04/2019,83,0,
LS07756583,30/08/2018,CROSSLEY STREET CP - WETHERBY                               ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,12/04/2019,83,0,
LS12444149,31/08/2018,MEADOW LANE CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,25/04/2019,0,83,
LS12444149,31/08/2018,MEADOW LANE CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,02/04/2019,0,83,
LS08439189,01/09/2018,KIRKSTALL RD CP - CITY,73 PARKED WITHOUT PAYMENT,50,08/05/2019,83,0,
LS04958162,07/09/2018,BECKETT ST LOWER CP - CITY,73 PARKED WITHOUT PAYMENT,50,25/04/2019,0,0,
LS05750972,09/09/2018,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,13/05/2019,83,0,
LS09926039,14/09/2018,CLUSTER OF NUTS CP - WETHERBY,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,12/04/2019,83,0,
LS09926094,15/09/2018,ROBIN LANE CP - PUDSEY                                      ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,10/06/2019,83,0,
LS07543152,17/09/2018,HUNSLET LANE CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,10/06/2019,83,0,
LS07117777,20/09/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,24/04/2019,83,0,
LS09130969,20/09/2018,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/06/2019,83,0,
LS15012209,20/09/2018,BECKETT ST LOWER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,12/04/2019,83,0,
LS01747411,22/09/2018,WEST STREET CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,01/04/2019,0,0,
LS08127142,22/09/2018,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/04/2019,83,0,
LS05752195,23/09/2018,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,13/05/2019,83,0,
LS14125298,23/09/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,02/04/2019,83,0,
LS14221961,23/09/2018,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,08/05/2019,83,0,
LS06641531,25/09/2018,QUARRY HILL C CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,03/06/2019,83,0,
LS15313205,27/09/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,08/05/2019,0,0,
LS07118270,02/10/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/04/2019,83,0,
LS07118532,04/10/2018,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/04/2019,83,0,
LS06733742,05/10/2018,WOODHOUSE LANE  CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,12/04/2019,83,0,
LS05753449,08/10/2018,WEST STREET CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,17/05/2019,83,0,
LS07543662,10/10/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/06/2019,83,0,
LS07633007,10/10/2018,BURLEY ROAD CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,08/05/2019,83,0,
LS01153596,11/10/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,12/04/2019,83,0,
LS15014328,12/10/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,08/05/2019,83,0,
LS07947639,14/10/2018,WEST STREET CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,08/05/2019,83,0,
LS14223184,14/10/2018,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,08/05/2019,83,0,
LS05929352,15/10/2018,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,01/05/2019,0,0,
LS14528986,16/10/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/06/2019,83,0,
LS04959405,17/10/2018,BARLEY HILL ROAD CP - GARFORTH                              ,91 PARKED IN AREA NOT FOR THAT CLASS OF VEHICLE,70,03/06/2019,113,0,
LS14529082,17/10/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/06/2019,83,0,
LS06643446,18/10/2018,QUARRY HILL E CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,03/06/2019,83,0,
LS07230000,19/10/2018,BECKETT ST LOWER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/06/2019,83,0,
LS01154067,23/10/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,14/06/2019,83,0,
LS08713484,23/10/2018,HUNSLET LANE CP - CITY,73 PARKED WITHOUT PAYMENT,50,10/06/2019,83,0,
LS08644610,24/10/2018,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,08/04/2019,25,0,
LS08644610,24/10/2018,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,11/04/2019,25,0,
LS09133184,25/10/2018,QUARRY HILL B CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,03/06/2019,83,0,
LS06243007,29/10/2018,INTERNATIONAL POOL CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/06/2019,83,0,
LS14350727,30/10/2018,INTERNATIONAL POOL CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,03/06/2019,83,0,
LS08714057,01/11/2018,BECKETT ST LOWER CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,10/06/2019,83,0,
LS08645271,02/11/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,14/06/2019,83,0,
LS06644063,03/11/2018,QUARRY HILL D CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,01/04/2019,50,0,
LS08529204,05/11/2018,MEADOW LANE CP - CITY,87 IN DISABLED BAY WITHOUT BADGE,70,15/04/2019,113,0,
LS07545453,07/11/2018,CASTLE ST CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,14/06/2019,83,0,
LS07545759,08/11/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,01/04/2019,50,0,
LS07763487,08/11/2018,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/06/2019,83,0,
LS01749927,12/11/2018,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,14/06/2019,0,0,
LS06644868,13/11/2018,WOODHOUSE LANE  CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,10/06/2019,83,0,
LS04962873,17/11/2018,CLUSTER OF NUTS CP - WETHERBY,85 PARKED IN A PERMIT BAY WITHOUT PERMIT,70,07/06/2019,105,0,
LS08318901,18/11/2018,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/06/2019,83,0,
LS07121796,22/11/2018,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/06/2019,83,0,
LS14530605,23/11/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/04/2019,25,0,
LS06844040,23/11/2018,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,17/05/2019,83,0,
LS14353747,24/11/2018,BECKETT ST LOWER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/06/2019,83,0,
LS06244542,24/11/2018,BURLEY ROAD CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,25/04/2019,83,0,
LS14354047,25/11/2018,BECKETT ST LOWER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,25/04/2019,83,0,
LS07823057,25/11/2018,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,02/04/2019,83,0,
LS1443876A,26/11/2018,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,12/04/2019,83,0,
LS09929401,27/11/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,19/04/2019,83,0,
LS08319813,27/11/2018,INTERNATIONAL POOL CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,14/06/2019,83,0,
LS09134766,28/11/2018,BECKETT ST LOWER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/06/2019,83,0,
LS05233595,29/11/2018,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,29/04/2019,83,0,
LS14129641,29/11/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,27/06/2019,83,0,
LS15318515,30/11/2018,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,29/04/2019,83,0,
LS11535078,30/11/2018,BECKETT ST LOWER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/06/2019,83,0,
LS06245002,01/12/2018,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,14/06/2019,83,0,
LS06646375,04/12/2018,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,17/04/2019,0,0,
LS14130163,04/12/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/04/2019,0,0,
LS14226240,07/12/2018,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,12/04/2019,83,0,
LS07547368,08/12/2018,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,03/06/2019,83,0,
LS08533187,09/12/2018,BECKETT ST LOWER CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,27/06/2019,83,0,
LS07823545,09/12/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,07/05/2019,0,0,
LS15319507,10/12/2018,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,09/04/2019,83,0,
LS15319518,10/12/2018,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,14/06/2019,83,0,
LS12143663,10/12/2018,QUEENSWAY CP - MORLEY                                       ,86 BEYOND THE BAY MARKINGS                        ,50,28/06/2019,83,0,
LS12233697,11/12/2018,BECKETT ST LOWER CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,30/05/2019,75,0,
LS14356563,13/12/2018,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,22/04/2019,83,0,
LS1444031A,14/12/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,15/06/2019,0,0,
LS07548021,15/12/2018,INTERNATIONAL POOL CP - CITY,73 PARKED WITHOUT PAYMENT,50,14/06/2019,83,0,
LS08534077,16/12/2018,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/06/2019,83,0,
LS14227210,17/12/2018,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,29/04/2019,83,0,
LS06246005,17/12/2018,INTERNATIONAL POOL CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,03/06/2019,83,0,
LS08718058,20/12/2018,WEST STREET CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,18/04/2019,83,0,
LS08718091,20/12/2018,BURLEY ROAD CP - CITY,73 PARKED WITHOUT PAYMENT,50,21/05/2019,0,0,
LS07548495,20/12/2018,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,25/04/2019,0,83,
LS08718091,20/12/2018,BURLEY ROAD CP - CITY,73 PARKED WITHOUT PAYMENT,50,15/06/2019,0,0,
LS14357271,23/12/2018,KIRKSTALL RD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,23/04/2019,83,0,
LS14357293,23/12/2018,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,05/04/2019,83,0,
LS14357668,27/12/2018,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/04/2019,83,0,
LS08535182,28/12/2018,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,04/04/2019,83,0,
LS14832014,29/12/2018,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,29/05/2019,83,0,
LS14832014,29/12/2018,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,01/05/2019,83,0,
LS05147471,02/01/2019,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,24/04/2019,75,0,
LS05147471,02/01/2019,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/05/2019,75,0,
LS14229544,02/01/2019,BECKETT ST LOWER CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,20/05/2019,0,0,
LS14229566,02/01/2019,BECKETT ST LOWER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/06/2019,83,0,
LS01752761,03/01/2019,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,25/04/2019,0,83,
LS15321531,03/01/2019,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,04/04/2019,83,0,
LS15321531,03/01/2019,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/06/2019,83,0,
LS11536161,04/01/2019,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,25/04/2019,0,83,
LS12234361,04/01/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,15/05/2019,25,0,
LS12234383,04/01/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,25/04/2019,75,0,
LS12234383,04/01/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,17/05/2019,75,0,
LS12234383,04/01/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,20/06/2019,75,0,
LS12234361,04/01/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,02/04/2019,25,0,
LS12234361,04/01/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,25/04/2019,25,0,
LS12234361,04/01/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,16/05/2019,25,0,
LS15702003,04/01/2019,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,25/04/2019,83,0,
LS07768367,06/01/2019,KIRKSTALL RD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,25/04/2019,83,0,
LS02457552,07/01/2019,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,25/04/2019,83,0,
LS07233337,07/01/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,15/05/2019,25,0,
LS07233337,07/01/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,17/05/2019,25,0,
LS07233370,07/01/2019,INTERNATIONAL POOL CP - CITY,73 PARKED WITHOUT PAYMENT,50,25/04/2019,0,83,
LS07233337,07/01/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,25/04/2019,25,0,
LS0723336A,07/01/2019,INTERNATIONAL POOL CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/04/2019,25,0,
LS0723336A,07/01/2019,INTERNATIONAL POOL CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,18/04/2019,25,0,
LS14132227,08/01/2019,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,01/04/2019,75,0,
LS07953449,08/01/2019,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,25/04/2019,0,83,
LS01752808,09/01/2019,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,02/04/2019,83,0,
LS01752830,09/01/2019,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,25/04/2019,0,83,
LS07953551,09/01/2019,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,25/04/2019,0,83,
LS14442100,09/01/2019,JOHN CHARLES SC CP - MIDDLETON,86 BEYOND THE BAY MARKINGS                        ,50,29/05/2019,83,0,
LS1570223A,09/01/2019,JOHN CHARLES SC CP - MIDDLETON,86 BEYOND THE BAY MARKINGS                        ,50,04/04/2019,25,0,
LS01752808,09/01/2019,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,25/04/2019,83,0,
LS01752808,09/01/2019,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,06/05/2019,83,0,
LS07953493,09/01/2019,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,25/04/2019,83,0,
LS1570223A,09/01/2019,JOHN CHARLES SC CP - MIDDLETON,86 BEYOND THE BAY MARKINGS                        ,50,03/04/2019,25,0,
LS08535932,10/01/2019,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,25/04/2019,0,83,
LS11536412,10/01/2019,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,25/04/2019,83,0,
LS11761099,10/01/2019,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,25/04/2019,0,83,
LS06647902,11/01/2019,QUARRY HILL C CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,25/04/2019,0,83,
LS0684713A,11/01/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,25/04/2019,83,0,
LS09931549,12/01/2019,BURLEY ROAD CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,20/05/2019,83,0,
LS09931549,12/01/2019,BURLEY ROAD CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,25/04/2019,83,0,
LS15702648,13/01/2019,KIRKSTALL RD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,29/05/2019,83,0,
LS15702772,13/01/2019,BECKETT ST LOWER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,25/04/2019,83,0,
LS07825052,13/01/2019,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,25/04/2019,83,0,
LS07825052,13/01/2019,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,24/05/2019,83,0,
LS06247642,14/01/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,16/05/2019,25,0,
LS0673975A,14/01/2019,QUARRY HILL C CP - CITY,73 PARKED WITHOUT PAYMENT,50,25/04/2019,0,83,
LS08719298,14/01/2019,HUNSLET LANE CP - CITY,73 PARKED WITHOUT PAYMENT,50,25/04/2019,50,0,
LS08719298,14/01/2019,HUNSLET LANE CP - CITY,73 PARKED WITHOUT PAYMENT,50,14/05/2019,50,0,
LS06247642,14/01/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,03/04/2019,25,0,
LS06247642,14/01/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,15/05/2019,25,0,
LS08719298,14/01/2019,HUNSLET LANE CP - CITY,73 PARKED WITHOUT PAYMENT,50,15/05/2019,50,0,
LS06247675,15/01/2019,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,23/05/2019,75,0,
LS14631770,15/01/2019,KIRKSTALL RD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,25/04/2019,83,0,
LS07550329,16/01/2019,INTERNATIONAL POOL CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,25/04/2019,83,0,
LS14442428,16/01/2019,KIRKSTALL RD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,08/04/2019,25,0,
LS0514842A,17/01/2019,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,25/04/2019,83,0,
LS09136841,17/01/2019,GLEDHOW ROAD CP - SHEEPSCAR,73 PARKED WITHOUT PAYMENT,50,01/04/2019,75,0,
LS11536591,17/01/2019,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,29/05/2019,83,0,
LS11761510,17/01/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,29/04/2019,75,0,
LS11761532,17/01/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,29/05/2019,25,0,
LS09136841,17/01/2019,GLEDHOW ROAD CP - SHEEPSCAR,73 PARKED WITHOUT PAYMENT,50,10/04/2019,75,0,
LS11536591,17/01/2019,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,23/04/2019,83,0,
LS11761474,17/01/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,25/04/2019,0,83,
LS11761510,17/01/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,30/04/2019,75,0,
LS14359368,17/01/2019,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,25/04/2019,0,83,
