PCN,ISSUED,LOCATION,CONTRAVENTION,FINE,
LS02467046,01/07/2019,BECKETT ST LOWER CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,
LS02467057,01/07/2019,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS05156122,01/07/2019,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS0665751A,01/07/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS06657520,01/07/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS06657531,01/07/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS06657542,01/07/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS06657553,01/07/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS06657564,01/07/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS06657575,01/07/2019,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS06657597,01/07/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS06657600,01/07/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS06657611,01/07/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS07137515,01/07/2019,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS07137526,01/07/2019,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS07137559,01/07/2019,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS07137606,01/07/2019,WEST STREET CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,
LS07137617,01/07/2019,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS07137628,01/07/2019,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS0724170A,01/07/2019,INTERNATIONAL POOL CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS07241710,01/07/2019,INTERNATIONAL POOL CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS07241721,01/07/2019,INTERNATIONAL POOL CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS07561959,01/07/2019,MEADOW LANE CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,
LS0756196A,01/07/2019,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS07561970,01/07/2019,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS07562055,01/07/2019,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
